TIME	DONOR	TREATMENT_CODE	SAMPLE
1	2	D223	NS	SL20541
2	2	D225	NS	SL19557
3	2	D234	NS	SL34329
4	2	D235	NS	SL34334
5	2	D223	LPS	SL20542
6	2	D225	LPS	SL19558
7	2	D234	LPS	SL34330
8	2	D235	LPS	SL34335
9	2	D223	pIC	SL20543
10	2	D225	pIC	SL19559
11	2	D234	pIC	SL34331
12	2	D235	pIC	SL34336
13	2	D223	NL4_3.SIV_VPX	SL20544
14	2	D225	NL4_3.SIV_VPX	SL19560
15	2	D234	NL4_3.SIV_VPX	SL34332
16	2	D235	NL4_3.SIV_VPX	SL34337
17	2	D223	pLKO1.SIV_VPX	SL19556
18	2	D225	pLKO1.SIV_VPX	SL19561
19	2	D234	pLKO1.SIV_VPX	SL34333
20	2	D235	pLKO1.SIV_VPX	SL34338
21	8	D223	NS	SL19562
22	8	D225	NS	SL19567
23	8	D234	NS	SL34339
24	8	D235	NS	SL34574
25	8	D223	LPS	SL19563
26	8	D225	LPS	SL19568
27	8	D234	LPS	SL34340
28	8	D235	LPS	SL34575
29	8	D223	pIC	SL19564
30	8	D225	pIC	SL19569
31	8	D234	pIC	SL34571
32	8	D235	pIC	SL34576
33	8	D223	NL4_3.SIV_VPX	SL19565
34	8	D225	NL4_3.SIV_VPX	SL19570
35	8	D234	NL4_3.SIV_VPX	SL34572
36	8	D235	NL4_3.SIV_VPX	SL34577
37	8	D223	pLKO1.SIV_VPX	SL19566
38	8	D225	pLKO1.SIV_VPX	SL19571
39	8	D234	pLKO1.SIV_VPX	SL34573
40	8	D235	pLKO1.SIV_VPX	SL34578
41	24	D223	NS	SL19572
42	24	D225	NS	SL19579
43	24	D234	NS	SL19600
44	24	D235	NS	SL19607
45	24	D223	LPS	SL19573
46	24	D225	LPS	SL19580
47	24	D234	LPS	SL19601
48	24	D235	LPS	SL19608
49	24	D223	pIC	SL19574
50	24	D225	pIC	SL19581
51	24	D234	pIC	SL19602
52	24	D235	pIC	SL19609
53	24	D223	NL4_3.SIV_VPX.GFP_NEG	SL19575
54	24	D225	NL4_3.SIV_VPX.GFP_NEG	SL19582
55	24	D234	NL4_3.SIV_VPX.GFP_NEG	SL19604
56	24	D235	NL4_3.SIV_VPX.GFP_NEG	SL19611
57	24	D223	NL4_3.SIV_VPX.GFP_POS	SL19576
58	24	D225	NL4_3.SIV_VPX.GFP_POS	SL19583
59	24	D234	NL4_3.SIV_VPX.GFP_POS	SL19603
60	24	D235	NL4_3.SIV_VPX.GFP_POS	SL19610
61	24	D223	pLKO1.SIV_VPX.GFP_NEG	SL19577
62	24	D225	pLKO1.SIV_VPX.GFP_NEG	SL19584
63	24	D234	pLKO1.SIV_VPX.GFP_NEG	SL19606
64	24	D235	pLKO1.SIV_VPX.GFP_NEG	SL19613
65	24	D223	pLKO1.SIV_VPX.GFP_POS	SL19578
66	24	D225	pLKO1.SIV_VPX.GFP_POS	SL19585
67	24	D234	pLKO1.SIV_VPX.GFP_POS	SL19605
68	24	D235	pLKO1.SIV_VPX.GFP_POS	SL19612
69	56	D223	NS	SL19586
70	56	D225	NS	SL19593
71	53	D234	NS	SL19614
72	53	D235	NS	SL19621
73	56	D223	LPS	SL19587
74	56	D225	LPS	SL19594
75	53	D234	LPS	SL19615
76	53	D235	LPS	SL22753
77	56	D223	pIC	SL19588
78	56	D225	pIC	SL19595
79	53	D234	pIC	SL19616
80	53	D235	pIC	SL19622
81	56	D223	NL4_3.SIV_VPX.GFP_POS.CD86_LOW	SL19589
82	56	D225	NL4_3.SIV_VPX.GFP_POS.CD86_LOW	SL19596
83	53	D234	NL4_3.SIV_VPX.GFP_POS.CD86_LOW	SL19618
84	53	D235	NL4_3.SIV_VPX.GFP_POS.CD86_LOW	SL19624
85	56	D223	NL4_3.SIV_VPX.GFP_POS.CD86_HIGH	SL19590
86	56	D225	NL4_3.SIV_VPX.GFP_POS.CD86_HIGH	SL19597
87	53	D234	NL4_3.SIV_VPX.GFP_POS.CD86_HIGH	SL19617
88	53	D235	NL4_3.SIV_VPX.GFP_POS.CD86_HIGH	SL19623
89	56	D225	pLKO1.SIV_VPX.GFP_NEG	SL19599
90	53	D234	pLKO1.SIV_VPX.GFP_NEG	SL19620
91	56	D225	pLKO1.SIV_VPX.GFP_POS	SL19598
92	53	D234	pLKO1.SIV_VPX.GFP_POS	SL19619
93	53	D235	pLKO1.SIV_VPX.GFP_POS	SL19625
