Source,Target,Type,Id,Label,timeset,Weight
ENSG00000099326,ENSG00000108702,Directed,0,,,1
ENSG00000099326,ENSG00000165684,Directed,1,,,1
ENSG00000099326,ENSG00000260917,Directed,2,,,1
ENSG00000099326,ENSG00000229117,Directed,3,,,1
ENSG00000099326,ENSG00000135778,Directed,4,,,1
ENSG00000099326,ENSG00000079332,Directed,5,,,1
ENSG00000099326,ENSG00000000460,Directed,6,,,1
ENSG00000099326,ENSG00000254941,Directed,7,,,1
ENSG00000099326,ENSG00000011028,Directed,8,,,1
ENSG00000099326,ENSG00000089041,Directed,9,,,1
ENSG00000099326,ENSG00000196670,Directed,10,,,1
ENSG00000099326,ENSG00000099364,Directed,11,,,1
ENSG00000099326,ENSG00000184470,Directed,12,,,1
ENSG00000099326,ENSG00000163050,Directed,13,,,1
ENSG00000099326,ENSG00000163918,Directed,14,,,1
ENSG00000099326,ENSG00000104368,Directed,15,,,1
ENSG00000099326,ENSG00000115598,Directed,16,,,1
ENSG00000099326,ENSG00000063322,Directed,17,,,1
ENSG00000099326,ENSG00000197122,Directed,18,,,1
ENSG00000099326,ENSG00000184557,Directed,19,,,1
ENSG00000099326,ENSG00000276649,Directed,20,,,1
ENSG00000099326,ENSG00000144283,Directed,21,,,1
ENSG00000099326,ENSG00000203880,Directed,22,,,1
ENSG00000099326,ENSG00000169442,Directed,23,,,1
ENSG00000099326,ENSG00000114346,Directed,24,,,1
ENSG00000099326,ENSG00000139289,Directed,25,,,1
ENSG00000099326,ENSG00000080839,Directed,26,,,1
ENSG00000099326,ENSG00000111640,Directed,27,,,1
ENSG00000099326,ENSG00000132535,Directed,28,,,1
ENSG00000099326,ENSG00000213246,Directed,29,,,1
ENSG00000099326,ENSG00000176340,Directed,30,,,1
ENSG00000099326,ENSG00000089327,Directed,31,,,1
ENSG00000099326,ENSG00000137266,Directed,32,,,1
ENSG00000099326,ENSG00000109680,Directed,33,,,1
ENSG00000099326,ENSG00000168792,Directed,34,,,1
ENSG00000099326,ENSG00000196154,Directed,35,,,1
ENSG00000099326,ENSG00000104983,Directed,36,,,1
ENSG00000099326,ENSG00000169189,Directed,37,,,1
ENSG00000099326,ENSG00000198744,Directed,38,,,1
ENSG00000099326,ENSG00000115738,Directed,39,,,1
ENSG00000099326,ENSG00000204482,Directed,40,,,1
ENSG00000099326,ENSG00000123689,Directed,41,,,1
ENSG00000099326,ENSG00000229816,Directed,42,,,1
ENSG00000099326,ENSG00000177169,Directed,43,,,1
ENSG00000099326,ENSG00000197024,Directed,44,,,1
ENSG00000099326,ENSG00000125810,Directed,45,,,1
ENSG00000099326,ENSG00000143374,Directed,46,,,1
ENSG00000099326,ENSG00000109805,Directed,47,,,1
ENSG00000099326,ENSG00000259972,Directed,48,,,1
ENSG00000099326,ENSG00000185379,Directed,49,,,1
ENSG00000099326,ENSG00000105193,Directed,50,,,1
ENSG00000099326,ENSG00000119138,Directed,51,,,1
ENSG00000099326,ENSG00000102755,Directed,52,,,1
ENSG00000099326,ENSG00000196502,Directed,53,,,1
ENSG00000099326,ENSG00000161929,Directed,54,,,1
ENSG00000099326,ENSG00000196700,Directed,55,,,1
ENSG00000099326,ENSG00000106144,Directed,56,,,1
ENSG00000099326,ENSG00000280376,Directed,57,,,1
ENSG00000099326,ENSG00000123080,Directed,58,,,1
ENSG00000099326,ENSG00000167604,Directed,59,,,1
ENSG00000099326,ENSG00000035115,Directed,60,,,1
ENSG00000099326,ENSG00000081386,Directed,61,,,1
ENSG00000099326,ENSG00000142856,Directed,62,,,1
ENSG00000099326,ENSG00000161905,Directed,63,,,1
ENSG00000099326,ENSG00000203721,Directed,64,,,1
ENSG00000099326,ENSG00000102962,Directed,65,,,1
ENSG00000099326,ENSG00000184371,Directed,66,,,1
ENSG00000099326,ENSG00000011422,Directed,67,,,1
ENSG00000099326,ENSG00000106479,Directed,68,,,1
ENSG00000099326,ENSG00000171224,Directed,69,,,1
ENSG00000099326,ENSG00000248165,Directed,70,,,1
